ResponseId	Trigger	Trigger Token	Action	Action Token	Frequency	Week	Time	Schedule
R_UgxAHhSGim06wdH	geo_location phone is not connected to home wifi	<Presence_Sensor,presence,not_present>	switch Air Conditioner off	<Air_Conditioner,thermostat,off>	Few times in a day (1-5/day)	Weekday	Anytime	Executed at random (e.g. |  every time I enter the room)
R_UgxAHhSGim06wdH	geo_location phone is not connected to home wifi	<Presence_Sensor,presence,not_present>	set Security Alarm in Siren mode	<Security_Alarm,alarm,siren>	Few times in a day (1-5/day)	Weekday	Anytime	Executed at random (e.g. |  every time I enter the room)
R_UgxAHhSGim06wdH	geo_location phone is not connected to home wifi	<Presence_Sensor,presence,not_present>	lock Door Lock	<Door_Lock,lock,locked>	Few times in a day (1-5/day)	Weekday	Anytime	Executed at random (e.g. |  every time I enter the room)
R_UgxAHhSGim06wdH	geo_location in Living_Room	<Presence_Sensor,presence,present>	switch Light Bulb on	<Light_Bulb,switch,on>	Many times in a day (5+ /day)	Anytime	Morning (6am- 11am) | Evening (5pm-8pm) | Night (8pm-6am)	Executed at random (e.g. |  every time I enter the room)
R_UgxAHhSGim06wdH	geo_location in Living_Room AND time is 9pm	<Presence_Sensor-null,presence-time,present-night>	set colorMode of Light Bulb on night-color-mode	<Light_Bulb,colorValue,fixed_value>	Few times in a day (1-5/day)	Anytime	Night (8pm-6am)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_UgxAHhSGim06wdH	humidity of Humidity Sensor is high	<Humidity_Sensor,humidity,greater>	switch Air Purifier on	<Air_Purifier,switch,on>	Many times in a day (5+ /day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_UgxAHhSGim06wdH	if temperature read by Air Conditioner is greater than 80 AND geo_location phone is at home	<Temperature_Sensor-Presence_Sensor,temperature-presence,greater-present>	rapidCooling ON	<Air_Conditioner,thermostat,decreased>	Few times in a month	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_UgxAHhSGim06wdH	dishwasherMode is auto AND time is 3am	<Dishwasher-null,mode-time,auto-morning>	start Dish Washer	<Dishwasher,mode,start>	Few times in a day (1-5/day)	Weekday	Night (8pm-6am)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_UgxAHhSGim06wdH	Illuminance Sensor level is bright	<Illuminance_Sensor,illuminance,greater>	switch Light Bulb off	<Light_Bulb,switch,off>	Few times in a day (1-5/day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_UgxAHhSGim06wdH	external factor email AND sms message unlock door	<Phone,notification,notify>	unlock door lock	<Door_Lock,lock,unlocked>	Few times in a year	Anytime	Anytime	Manually-triggered (e.g. |  a button press)
